cThinning,1000,10000,8000
germinationDay,75,150,90
hNutrient,0.0,0.02,0.006
hPhotoLight,5.0,300.0,50.0
hPhotoTemp,8.0,20.0,15.0
hWaveMort,0.0,0.5,0.1
maxAge,150,300,280
maxWaveMort,0.0,1.0,0.2
pMax,0.001,0.5,0.3
pNutrient,1.0,8.0,2.0
pPhotoTemp,1.0,8.0,2.0
pWaveMort,1.0,8.0,2.0
q10,1.0,8.0,1.0
reproDay,227,289,288
resp20,0.0001,0.1,0.001
seedBiomass,0.0,0.1,0.05
seedFraction,0.0,0.3,0.1
seedsStartAge,10,100,80
seedsEndAge,100,150,110
sPhotoTemp,0.5,1.5,1.35
seedGermination,0.3,1.0,0.6
cTuber,0.01,0.5,0.1
heightMax,0.01,5.0,3.5
maxWeightLenRatio,0.005,0.5,0.08
rootShootRatio,0.01,0.5,0.1
fracPeriphyton,0.05,0.5,0.2
hPhotoDist,0.5,3.0,1.0
plantK,0.005,0.1,0.02
Kohler5,10,600,100
